ystemusingweightedaverage,	 ystemusingweightedaveragecp77, add,	 25_movies_cleaned_df_ystemusingweightedaverage,	 15_DataFrame_lixedaconsumptionanalysis
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp77,	 delete,	 7_png_andasmatplotlibandseaborn,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp77, add,	 8_text_decisiontreeclassifier,	 43_png_covid19tweetsedaviz
shierarchicalonindianfood,	 shierarchicalonindianfoodcp77, add,	 cell_7053,	 cell_9232
nanalysisandvisualization,	 nanalysisandvisualizationcp77, add,	 40_png_nanalysisandvisualization,	 13_plain_stats_train_hingtobeginwithafirsthint
indianfoodexploration,	 indianfoodexplorationcp77,	 delete,	 4_text_indianfoodexploration,	 -
eringvslogisticregression,	 eringvslogisticregressioncp77, add,	 cell_9821,	 14_png_businessanalysisreport5
scienceandmachinelearning,	 scienceandmachinelearningcp77, add,	 cell_10165,	 cell_8597
lysisandvisualizationwine,	 lysisandvisualizationwinecp77, add,	 17_png_lysisandvisualizationwine,	 22_png_hyyoushouldnotuseroccurve
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp78, add,	 4_text_ithmsandfeatureimportance,	 cell_10251
ificationwithrandomforest,	 ificationwithrandomforestcp78, add,	 cell_9870,	 cell_7421
hedaandlogisticregression,	 hedaandlogisticregressioncp78,	 delete,	 cell_8903,	 -
salesprediction,	 salespredictioncp78,	 delete,	 cell_7337,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp78,	 delete,	 4_train_x_acomparisonoffewmlmodels,	 -
videogamesedaseaborn,	 videogamesedaseaborncp78,	 delete,	 cell_8557,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp78,	 delete,	 23_text_ndiancuisineedawithplotly,	 -
recipesanalysis,	 recipesanalysiscp78, add,	 29_statelist_recipesanalysis,	 cell_8549
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp78, add,	 8_text_9tweetsentimentalanalysis,	 cell_9383
iveedavizlinearregression,	 iveedavizlinearregressioncp78,	 delete,	 20_df_iveedavizlinearregression,	 -
olarpowermachinelearningi,	 olarpowermachinelearningicp78,	 delete,	 9_DataFrame_olarpowermachinelearningi,	 -
fifa19analysis,	 fifa19analysiscp78, add,	 cell_9560,	 25_text_ificationwithrandomforest
netflixdataanalysis,	 netflixdataanalysiscp78,	 delete,	 cell_9274,	 -
gsalesregressionr2score95,	 gsalesregressionr2score95cp78,	 delete,	 52_text_gsalesregressionr2score95,	 -
solarpowergenerationeda,	 solarpowergenerationedacp78, add,	 44_inverter_rank_p2_solarpowergenerationeda,	 45_DataFrame_merclothesinecommercewish
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp78, add,	 14_data_ningkmeansandhierarchical,	 37_png_variateplottingwithpandas
toseeingredientsimilarity,	 toseeingredientsimilaritycp78, add,	 cell_7204,	 cell_8091
eofmlclassificationmodels,	 eofmlclassificationmodelscp78,	 delete,	 cell_8972,	 -
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp78, add,	 cell_9039,	 cell_8572
lysiswithlinearregression,	 lysiswithlinearregressioncp78, add,	 10_DataFrame_lysiswithlinearregression,	 35_df_known_nsivetutorialdatacleaning
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp78,	 delete,	 3_text_sicsedamlforverybeginners,	 -
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp78,	 delete,	 94_png_izationplotlyplotstreemap,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp78, add,	 cell_8401,	 17_png_analysingindianrecipes
classification929accuracy,	 classification929accuracycp78, add,	 6_text_classification929accuracy,	 171_png_olarpowermachinelearningi
amesdatasetedausingpython,	 amesdatasetedausingpythoncp78,	 delete,	 25_text_amesdatasetedausingpython,	 -
indianfood101,	 indianfood101cp78,	 delete,	 cell_7124,	 -
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp78,	 delete,	 53_DataFrame_level12simpleedaonlevel34,	 -
fifa19visualization,	 fifa19visualizationcp78, add,	 19_impute_by_mode_fifa19visualization,	 cell_7930
businessanalysisreport3,	 businessanalysisreport3cp78, add,	 12_text_businessanalysisreport3,	 33_text_variateplottingwithpandas
chesswinnerprediction,	 chesswinnerpredictioncp78,	 delete,	 cell_8852,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp78,	 delete,	 cell_8817,	 -
solarpowerplantanalysis,	 solarpowerplantanalysiscp78,	 delete,	 cell_8159,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp78, add,	 5_DataFrame_dpredictionwithtensorflow,	 cell_9723
thefutureofpowerissolar,	 thefutureofpowerissolarcp78, add,	 5_df1_thefutureofpowerissolar,	 34_png_doyouknowaboutfootballers
covid19tweetanalysis,	 covid19tweetanalysiscp78, add,	 cell_8932,	 22_df_iveedavizlinearregression
tavisualizationwithpython,	 tavisualizationwithpythoncp78, add,	 29_png_tavisualizationwithpython,	 cell_9120
iencetutorialforbeginners,	 iencetutorialforbeginnerscp78, add,	 cell_9581,	 cell_8597
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp78,	 delete,	 cell_7251,	 -
isvisualizationwithpython,	 isvisualizationwithpythoncp78, add,	 26_text_isvisualizationwithpython,	 77_text_isvisualizationwithpython
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp78,	 delete,	 18_text_lixedaconsumptionanalysis,	 -
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp78,	 delete,	 cell_7562,	 -
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp78, add,	 cell_7623,	 9_text_edaonindiancuisine
ics1descriptivestatistics,	 ics1descriptivestatisticscp78, add,	 cell_9096,	 cell_10233
borsknnclassification7525,	 borsknnclassification7525cp78,	 delete,	 11_text_borsknnclassification7525,	 -
variateplottingwithpandas,	 variateplottingwithpandascp78,	 delete,	 30_pokemon_variateplottingwithpandas,	 -
isforsolarpowergeneration,	 isforsolarpowergenerationcp78, add,	 52_plant_1_dc_ac_rank_isforsolarpowergeneration,	 47_text_ificationedaplotlyseaborn
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp78, add,	 42_top_5_countries_pw_iewsdatasetinsightsofdata,	 cell_9860
heartdisease,	 heartdiseasecp78,	 delete,	 cell_7826,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp78,	 delete,	 30_text_nerationpredictionxgboost,	 -
analysisvizrecommendation,	 analysisvizrecommendationcp78, add,	 cell_9328,	 cell_9617
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp78,	 delete,	 cell_8757,	 -
exploratorydataanalysis,	 exploratorydataanalysiscp78, add,	 cell_8924,	 cell_7338
ddatasetsvmclassification,	 ddatasetsvmclassificationcp78, add,	 17_df_corr_ddatasetsvmclassification,	 cell_8504
videogamesanalysis,	 videogamesanalysiscp78,	 delete,	 6_png_videogamesanalysis,	 -
dfrauddetection95accuracy,	 dfrauddetection95accuracycp78,	 delete,	 cell_8326,	 -
analysingindianrecipes,	 analysingindianrecipescp78,	 delete,	 cell_7079,	 -
predictingthesales,	 predictingthesalescp78,	 delete,	 20_text_predictingthesales,	 -
rclothesdatavisualization,	 rclothesdatavisualizationcp78, add,	 cell_7467,	 30_text_gsalesregressionr2score95
businessanalysisreport5,	 businessanalysisreport5cp78, add,	 17_png_businessanalysisreport5,	 4_Data_sicsedamlforverybeginners
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp78, add,	 44_text_hingtobeginwithafirsthint,	 cell_7150
merclothesinecommercewish,	 merclothesinecommercewishcp78,	 delete,	 33_df_merclothesinecommercewish,	 -
ricepredictionwith95score,	 ricepredictionwith95scorecp78, add,	 20_X_ricepredictionwith95score,	 28_text_deogamesalesedawithplotly
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp78,	 delete,	 10_data_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp78, add,	 17_png_hyyoushouldnotuseroccurve,	 cell_8660
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp78,	 delete,	 16_text_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp78,	 delete,	 cell_7566,	 -
ificationsmachinelearning,	 ificationsmachinelearningcp78,	 delete,	 cell_7780,	 -
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp78, add,	 cell_9307,	 10_corrmat_mobilepriceclassification
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp78, add,	 23_platform_ameswannadobusinesswithit,	 40_DataFrame_solarpowerplantanalysis
sanalysisandvisualization,	 sanalysisandvisualizationcp78, add,	 cell_8520,	 cell_8386
netflixandeda,	 netflixandedacp78, add,	 13_text_netflixandeda,	 cell_7612
mobilepriceprediction,	 mobilepricepredictioncp78, add,	 39_text_mobilepriceprediction,	 11_png_chesswinnerprediction
andrecommendationusingknn,	 andrecommendationusingknncp78,	 delete,	 cell_7687,	 -
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp78, add,	 cell_9972,	 cell_9405
lephonepricingpredictions,	 lephonepricingpredictionscp78, add,	 cell_10238,	 cell_9300
solarpowergenerationdata,	 solarpowergenerationdatacp78, add,	 8_text_solarpowergenerationdata,	 35_df_nanalysisandvisualization
chooseheartovermind,	 chooseheartovermindcp78, add,	 cell_7764,	 166_text_olarpowermachinelearningi
ogisticregressionfeatures,	 ogisticregressionfeaturescp78, add,	 11_text_ogisticregressionfeatures,	 18_text_merclothesinecommercewish
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp78,	 delete,	 cell_10141,	 -
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp78, add,	 cell_8666,	 7_df_level_1_hingtobeginwithafirsthint
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp78,	 delete,	 13_DataFrame_lerexoplanetsearchresults,	 -
classification9975acrfpca,	 classification9975acrfpcacp78, add,	 38_text_classification9975acrfpca,	 cell_8002
mobilepriceclassification,	 mobilepriceclassificationcp78,	 delete,	 cell_10256,	 -
mushroomclassification,	 mushroomclassificationcp78, add,	 7_png_mushroomclassification,	 cell_8363
winesnsandpltanalysis,	 winesnsandpltanalysiscp78, add,	 16_text_winesnsandpltanalysis,	 cell_9629
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp78, add,	 60_text_ificationedaplotlyseaborn,	 44_text_fifa19analysis
unitsoldpredictmodel,	 unitsoldpredictmodelcp78, add,	 62_X_train_unitsoldpredictmodel,	 cell_7824
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp78,	 delete,	 cell_7903,	 -
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp78, add,	 5_text_egrehastalarnsnflandrlmas,	 28_text_toseeingredientsimilarity
edaonindiancuisine,	 edaonindiancuisinecp78,	 delete,	 7_text_edaonindiancuisine,	 -
edanetflix,	 edanetflixcp78,	 delete,	 cell_9198,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp78, add,	 29_text_tionedawithvisualizations,	 65_Other_deogamesalesedawithplotly
indiafbprophetforecasting,	 indiafbprophetforecastingcp78, add,	 16_df_indiafbprophetforecasting,	 cell_10030
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp78,	 delete,	 83_df_country_age_sisandvisualizationfifa19,	 -
rningedawithbiomechanical,	 rningedawithbiomechanicalcp78,	 delete,	 7_DataFrame_rningedawithbiomechanical,	 -
covid19tweetsedaviz,	 covid19tweetsedavizcp78,	 delete,	 cell_8991,	 -
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp78, add,	 9_text_ssalesdataedaandwordcloud,	 cell_7459
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp78, add,	 40_counts_Nationality_doyouknowaboutfootballers,	 cell_7732
viesanalysisvisualization,	 viesanalysisvisualizationcp78, add,	 35_png_viesanalysisvisualization,	 16_text_izationplotlyplotstreemap
salesendtoendconstruction,	 salesendtoendconstructioncp78, add,	 25_DataFrame_salesendtoendconstruction,	 cell_9841
winerecommender,	 winerecommendercp78, add,	 cell_7645,	 cell_7050
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp78, add,	 3_df_dnetflixandchillgetfamous,	 13_png_salesprediction
ystemusingweightedaverage,	 ystemusingweightedaveragecp78,	 delete,	 11_movies_cleaned_df_ystemusingweightedaverage,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp78,	 delete,	 cell_7595,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp78,	 delete,	 cell_9943,	 -
shierarchicalonindianfood,	 shierarchicalonindianfoodcp78, add,	 cell_7072,	 cell_10054
nanalysisandvisualization,	 nanalysisandvisualizationcp78,	 delete,	 14_text_nanalysisandvisualization,	 -
indianfoodexploration,	 indianfoodexplorationcp78, add,	 16_text_indianfoodexploration,	 2_cat_sorted_df_rclothesdatavisualization
eringvslogisticregression,	 eringvslogisticregressioncp78, add,	 cell_9826,	 92_png_olarpowermachinelearningi
scienceandmachinelearning,	 scienceandmachinelearningcp78,	 delete,	 cell_10162,	 -
lysisandvisualizationwine,	 lysisandvisualizationwinecp78, add,	 cell_7521,	 52_DataFrame_mobilepriceclassification
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp79,	 delete,	 5_DataFrame_ithmsandfeatureimportance,	 -
ificationwithrandomforest,	 ificationwithrandomforestcp79, add,	 cell_9887,	 30_text_ics1descriptivestatistics
hedaandlogisticregression,	 hedaandlogisticregressioncp79,	 delete,	 cell_8892,	 -
salesprediction,	 salespredictioncp79,	 delete,	 24_png_salesprediction,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp79,	 delete,	 cell_9932,	 -
videogamesedaseaborn,	 videogamesedaseaborncp79,	 delete,	 cell_8561,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp79,	 delete,	 13_DataFrame_ndiancuisineedawithplotly,	 -
recipesanalysis,	 recipesanalysiscp79,	 delete,	 15_courseregion_recipesanalysis,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp79, add,	 cell_8966,	 cell_8636
iveedavizlinearregression,	 iveedavizlinearregressioncp79,	 delete,	 60_df_5_iveedavizlinearregression,	 -
olarpowermachinelearningi,	 olarpowermachinelearningicp79,	 delete,	 cell_8011,	 -
fifa19analysis,	 fifa19analysiscp79,	 delete,	 cell_9556,	 -
netflixdataanalysis,	 netflixdataanalysiscp79, add,	 cell_9272,	 62_DataFrame_viesanalysisvisualization
gsalesregressionr2score95,	 gsalesregressionr2score95cp79, add,	 30_text_gsalesregressionr2score95,	 cell_7086
solarpowergenerationeda,	 solarpowergenerationedacp79,	 delete,	 17_DataFrame_solarpowergenerationeda,	 -
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp79, add,	 15_text_ningkmeansandhierarchical,	 cell_7147
toseeingredientsimilarity,	 toseeingredientsimilaritycp79,	 delete,	 58_png_toseeingredientsimilarity,	 -
eofmlclassificationmodels,	 eofmlclassificationmodelscp79,	 delete,	 7_train_eofmlclassificationmodels,	 -
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp79, add,	 cell_9032,	 54_plant1_sensor_olarpowermachinelearningi
lysiswithlinearregression,	 lysiswithlinearregressioncp79,	 delete,	 49_png_lysiswithlinearregression,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp79, add,	 18_png_sicsedamlforverybeginners,	 45_png_iveedavizlinearregression
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp79,	 delete,	 96_png_izationplotlyplotstreemap,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp79,	 delete,	 29_train_test_v1_usinggaussiandistribution,	 -
classification929accuracy,	 classification929accuracycp79, add,	 cell_10367,	 22_DataFrame_9tweetsentimentalanalysis
amesdatasetedausingpython,	 amesdatasetedausingpythoncp79,	 delete,	 34_png_amesdatasetedausingpython,	 -
indianfood101,	 indianfood101cp79, add,	 4_png_indianfood101,	 cell_9371
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp79, add,	 46_DataFrame_level12simpleedaonlevel34,	 cell_8458
fifa19visualization,	 fifa19visualizationcp79,	 delete,	 51_text_fifa19visualization,	 -
businessanalysisreport3,	 businessanalysisreport3cp79, add,	 42_text_businessanalysisreport3,	 7_DataFrame_decisiontreeclassifier
chesswinnerprediction,	 chesswinnerpredictioncp79,	 delete,	 cell_8849,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp79,	 delete,	 8_text_edictionusingmlalgorithms,	 -
solarpowerplantanalysis,	 solarpowerplantanalysiscp79,	 delete,	 cell_8152,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp79, add,	 cell_7233,	 cell_9604
thefutureofpowerissolar,	 thefutureofpowerissolarcp79, add,	 cell_8187,	 1_text_edanetflix
covid19tweetanalysis,	 covid19tweetanalysiscp79,	 delete,	 cell_8929,	 -
tavisualizationwithpython,	 tavisualizationwithpythoncp79, add,	 7_text_tavisualizationwithpython,	 19_text_borsknnclassification7525
iencetutorialforbeginners,	 iencetutorialforbeginnerscp79,	 delete,	 cell_9630,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp79, add,	 4_DataFrame_atasetexploratoryanalysis,	 cell_7983
isvisualizationwithpython,	 isvisualizationwithpythoncp79, add,	 cell_7865,	 5_text_edictionusingmlalgorithms
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp79, add,	 13_DataFrame_lixedaconsumptionanalysis,	 cell_8372
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp79,	 delete,	 20_text_criptionswithnlpandkmeans,	 -
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp79, add,	 31_df_cleanup_known_nsivetutorialdatacleaning,	 23_text_toseeingredientsimilarity
ics1descriptivestatistics,	 ics1descriptivestatisticscp79, add,	 42_png_ics1descriptivestatistics,	 cell_7835
borsknnclassification7525,	 borsknnclassification7525cp79, add,	 cell_10089,	 cell_7910
variateplottingwithpandas,	 variateplottingwithpandascp79,	 delete,	 33_text_variateplottingwithpandas,	 -
isforsolarpowergeneration,	 isforsolarpowergenerationcp79,	 delete,	 cell_8246,	 -
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp79,	 delete,	 cell_7496,	 -
heartdisease,	 heartdiseasecp79, add,	 cell_7832,	 18_text_viesanalysisvisualization
nerationpredictionxgboost,	 nerationpredictionxgboostcp79, add,	 24_text_nerationpredictionxgboost,	 cell_9338
analysisvizrecommendation,	 analysisvizrecommendationcp79, add,	 49_text_analysisvizrecommendation,	 15_text_andasmatplotlibandseaborn
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp79,	 delete,	 cell_8726,	 -
exploratorydataanalysis,	 exploratorydataanalysiscp79,	 delete,	 22_text_exploratorydataanalysis,	 -
ddatasetsvmclassification,	 ddatasetsvmclassificationcp79,	 delete,	 46_text_ddatasetsvmclassification,	 -
videogamesanalysis,	 videogamesanalysiscp79,	 delete,	 11_GenreGroup_videogamesanalysis,	 -
dfrauddetection95accuracy,	 dfrauddetection95accuracycp79,	 delete,	 cell_8316,	 -
analysingindianrecipes,	 analysingindianrecipescp79,	 delete,	 15_png_analysingindianrecipes,	 -
predictingthesales,	 predictingthesalescp79, add,	 39_x_train_predictingthesales,	 59_text_iencetutorialforbeginners
rclothesdatavisualization,	 rclothesdatavisualizationcp79,	 delete,	 5_text_rclothesdatavisualization,	 -
businessanalysisreport5,	 businessanalysisreport5cp79,	 delete,	 10_DataFrame_businessanalysisreport5,	 -
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp79,	 delete,	 cell_7931,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp79, add,	 cell_7407,	 32_text_deogamesalesedawithplotly
ricepredictionwith95score,	 ricepredictionwith95scorecp79,	 delete,	 24_x_train_ricepredictionwith95score,	 -
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp79,	 delete,	 8_text_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp79,	 delete,	 20_features_hyyoushouldnotuseroccurve,	 -
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp79, add,	 cell_9504,	 84_png_eogamesindustrymadesimple
winedatasetdatacleaning,	 winedatasetdatacleaningcp79, add,	 cell_7573,	 cell_7298
ificationsmachinelearning,	 ificationsmachinelearningcp79, add,	 44_png_ificationsmachinelearning,	 cell_8322
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp79,	 delete,	 12_png_tplotlibvisualizationtips,	 -
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp79, add,	 cell_8676,	 18_png_sicsedamlforverybeginners
sanalysisandvisualization,	 sanalysisandvisualizationcp79,	 delete,	 78_png_sanalysisandvisualization,	 -
netflixandeda,	 netflixandedacp79, add,	 cell_9258,	 cell_8705
mobilepriceprediction,	 mobilepricepredictioncp79, add,	 cell_10318,	 91_text_deogamesalesedawithplotly
andrecommendationusingknn,	 andrecommendationusingknncp79, add,	 cell_7704,	 5_text_salesendtoendconstruction
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp79, add,	 33_png_nmethodsonmushroomdataset,	 43_disp_iewsdatasetinsightsofdata
lephonepricingpredictions,	 lephonepricingpredictionscp79, add,	 11_png_lephonepricingpredictions,	 cell_7752
solarpowergenerationdata,	 solarpowergenerationdatacp79, add,	 5_text_solarpowergenerationdata,	 48_text_ificationedaplotlyseaborn
chooseheartovermind,	 chooseheartovermindcp79,	 delete,	 23_DataFrame_chooseheartovermind,	 -
ogisticregressionfeatures,	 ogisticregressionfeaturescp79,	 delete,	 15_text_ogisticregressionfeatures,	 -
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp79,	 delete,	 4_text_ngtobasicregressionmodels,	 -
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp79,	 delete,	 cell_8653,	 -
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp79,	 delete,	 25_png_lerexoplanetsearchresults,	 -
classification9975acrfpca,	 classification9975acrfpcacp79,	 delete,	 3_DataFrame_classification9975acrfpca,	 -
mobilepriceclassification,	 mobilepriceclassificationcp79, add,	 cell_10264,	 20_text_recipesanalysis
mushroomclassification,	 mushroomclassificationcp79,	 delete,	 20_text_mushroomclassification,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp79, add,	 cell_7478,	 59_DataFrame_analysisvizrecommendation
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp79,	 delete,	 15_png_ificationedaplotlyseaborn,	 -
unitsoldpredictmodel,	 unitsoldpredictmodelcp79, add,	 30_text_unitsoldpredictmodel,	 cell_7464
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp79, add,	 11_train_df_level_34_geiiisimpleedaandcracking,	 34_text_tionedawithvisualizations
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp79,	 delete,	 cell_10098,	 -
edaonindiancuisine,	 edaonindiancuisinecp79, add,	 3_df_edaonindiancuisine,	 46_text_mobilepriceclassification
edanetflix,	 edanetflixcp79,	 delete,	 8_png_edanetflix,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp79,	 delete,	 cell_9864,	 -
indiafbprophetforecasting,	 indiafbprophetforecastingcp79,	 delete,	 cell_7987,	 -
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp79, add,	 cell_9704,	 cell_10112
rningedawithbiomechanical,	 rningedawithbiomechanicalcp79,	 delete,	 cell_10065,	 -
covid19tweetsedaviz,	 covid19tweetsedavizcp79, add,	 cell_9019,	 29_text_solarpowergenerationeda
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp79,	 delete,	 cell_8550,	 -
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp79,	 delete,	 cell_9802,	 -
viesanalysisvisualization,	 viesanalysisvisualizationcp79, add,	 8_png_viesanalysisvisualization,	 cell_7677
salesendtoendconstruction,	 salesendtoendconstructioncp79,	 delete,	 cell_8585,	 -
winerecommender,	 winerecommendercp79, add,	 cell_7650,	 cell_7633
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp79, add,	 cell_9230,	 cell_7165
ystemusingweightedaverage,	 ystemusingweightedaveragecp79,	 delete,	 16_movies_cleaned_df_ystemusingweightedaverage,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp79, add,	 29_png_andasmatplotlibandseaborn,	 cell_10264
decisiontreeclassifier,	 decisiontreeclassifiercp79,	 delete,	 cell_9936,	 -
shierarchicalonindianfood,	 shierarchicalonindianfoodcp79, add,	 30_text_shierarchicalonindianfood,	 cell_8902
nanalysisandvisualization,	 nanalysisandvisualizationcp79, add,	 cell_8132,	 cell_10239
indianfoodexploration,	 indianfoodexplorationcp79, add,	 cell_7107,	 cell_7285
eringvslogisticregression,	 eringvslogisticregressioncp79,	 delete,	 33_X_eringvslogisticregression,	 -
scienceandmachinelearning,	 scienceandmachinelearningcp79, add,	 cell_10160,	 cell_8524
lysisandvisualizationwine,	 lysisandvisualizationwinecp79,	 delete,	 17_text_lysisandvisualizationwine,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp80, add,	 3_data_ithmsandfeatureimportance,	 35_png_izationplotlyplotstreemap
ificationwithrandomforest,	 ificationwithrandomforestcp80,	 delete,	 11_df_ificationwithrandomforest,	 -
hedaandlogisticregression,	 hedaandlogisticregressioncp80,	 delete,	 22_top_20_hedaandlogisticregression,	 -
salesprediction,	 salespredictioncp80, add,	 3_data_frame_salesprediction,	 cell_9666
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp80, add,	 4_text_acomparisonoffewmlmodels,	 cell_9499
videogamesedaseaborn,	 videogamesedaseaborncp80,	 delete,	 cell_8560,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp80,	 delete,	 cell_7151,	 -
recipesanalysis,	 recipesanalysiscp80,	 delete,	 cell_7152,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp80,	 delete,	 27_png_9tweetsentimentalanalysis,	 -
iveedavizlinearregression,	 iveedavizlinearregressioncp80,	 delete,	 27_text_iveedavizlinearregression,	 -
olarpowermachinelearningi,	 olarpowermachinelearningicp80, add,	 cell_8069,	 2_submission_geiiisimpleedaandcracking
fifa19analysis,	 fifa19analysiscp80, add,	 cell_9551,	 cell_8617
netflixdataanalysis,	 netflixdataanalysiscp80, add,	 cell_9263,	 cell_9290
gsalesregressionr2score95,	 gsalesregressionr2score95cp80,	 delete,	 cell_8434,	 -
solarpowergenerationeda,	 solarpowergenerationedacp80, add,	 12_p2_whe_solarpowergenerationeda,	 7_DataFrame_lysiswithlinearregression
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp80,	 delete,	 cell_10051,	 -
toseeingredientsimilarity,	 toseeingredientsimilaritycp80, add,	 34_png_toseeingredientsimilarity,	 cell_7530
eofmlclassificationmodels,	 eofmlclassificationmodelscp80,	 delete,	 13_train_eofmlclassificationmodels,	 -
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp80, add,	 21_png_ndationenginewithnetworkx,	 46_png_iveedavizlinearregression
lysiswithlinearregression,	 lysiswithlinearregressioncp80, add,	 cell_9368,	 57_top10byoverall_doyouknowaboutfootballers
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp80,	 delete,	 13_DataFrame_sicsedamlforverybeginners,	 -
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp80,	 delete,	 11_text_izationplotlyplotstreemap,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp80, add,	 27_train_strip_v0_usinggaussiandistribution,	 80_text_chooseheartovermind
classification929accuracy,	 classification929accuracycp80,	 delete,	 cell_10367,	 -
amesdatasetedausingpython,	 amesdatasetedausingpythoncp80,	 delete,	 cell_8873,	 -
